"","date","hits","keyword","geo"
"238",2019-11-03,49,"Elkay","US-CA"
"239",2019-11-10,24,"Elkay","US-CA"
"240",2019-11-17,40,"Elkay","US-CA"
"241",2019-11-24,34,"Elkay","US-CA"
"242",2019-12-01,79,"Elkay","US-CA"
"243",2019-12-08,73,"Elkay","US-CA"
"244",2019-12-15,51,"Elkay","US-CA"
"245",2019-12-22,38,"Elkay","US-CA"
"246",2019-12-29,9,"Elkay","US-CA"
"247",2020-01-05,25,"Elkay","US-CA"
"248",2020-01-12,40,"Elkay","US-CA"
"249",2020-01-19,72,"Elkay","US-CA"
"250",2020-01-26,31,"Elkay","US-CA"
"251",2020-02-02,71,"Elkay","US-CA"
"252",2020-02-09,72,"Elkay","US-CA"
"253",2020-02-16,87,"Elkay","US-CA"
"254",2020-02-23,37,"Elkay","US-CA"
"255",2020-03-01,22,"Elkay","US-CA"
"256",2020-03-08,36,"Elkay","US-CA"
"257",2020-03-15,28,"Elkay","US-CA"
"258",2020-03-22,29,"Elkay","US-CA"
"259",2020-03-29,14,"Elkay","US-CA"
"260",2020-04-05,50,"Elkay","US-CA"
"261",2020-04-12,55,"Elkay","US-CA"
"262",2020-04-19,20,"Elkay","US-CA"
"263",2020-04-26,34,"Elkay","US-CA"
"264",2020-05-03,81,"Elkay","US-CA"
"265",2020-05-10,62,"Elkay","US-CA"
"266",2020-05-17,21,"Elkay","US-CA"
"267",2020-05-24,14,"Elkay","US-CA"
"268",2020-05-31,41,"Elkay","US-CA"
"269",2020-06-07,63,"Elkay","US-CA"
"270",2020-06-14,72,"Elkay","US-CA"
"271",2020-06-21,30,"Elkay","US-CA"
"272",2020-06-28,38,"Elkay","US-CA"
"273",2020-07-05,30,"Elkay","US-CA"
"274",2020-07-12,30,"Elkay","US-CA"
"275",2020-07-19,46,"Elkay","US-CA"
"276",2020-07-26,30,"Elkay","US-CA"
"277",2020-08-02,45,"Elkay","US-CA"
"278",2020-08-09,30,"Elkay","US-CA"
"279",2020-08-16,57,"Elkay","US-CA"
"280",2020-08-23,35,"Elkay","US-CA"
"281",2020-08-30,49,"Elkay","US-CA"
"282",2020-09-06,42,"Elkay","US-CA"
"283",2020-09-13,28,"Elkay","US-CA"
"284",2020-09-20,36,"Elkay","US-CA"
"285",2020-09-27,46,"Elkay","US-CA"
"286",2020-10-04,16,"Elkay","US-CA"
"287",2020-10-11,9,"Elkay","US-CA"
"288",2020-10-18,62,"Elkay","US-CA"
"289",2020-10-25,36,"Elkay","US-CA"
"290",2020-11-01,36,"Elkay","US-CA"
"291",2020-11-08,26,"Elkay","US-CA"
"292",2020-11-15,26,"Elkay","US-CA"
"293",2020-11-22,27,"Elkay","US-CA"
"294",2020-11-29,42,"Elkay","US-CA"
"295",2020-12-06,61,"Elkay","US-CA"
"296",2020-12-13,18,"Elkay","US-CA"
"297",2020-12-20,10,"Elkay","US-CA"
"298",2020-12-27,18,"Elkay","US-CA"
"299",2021-01-03,26,"Elkay","US-CA"
"300",2021-01-10,43,"Elkay","US-CA"
"301",2021-01-17,25,"Elkay","US-CA"
"302",2021-01-24,42,"Elkay","US-CA"
"303",2021-01-31,79,"Elkay","US-CA"
"304",2021-02-07,97,"Elkay","US-CA"
"305",2021-02-14,45,"Elkay","US-CA"
"306",2021-02-21,61,"Elkay","US-CA"
"307",2021-02-28,35,"Elkay","US-CA"
"308",2021-03-07,18,"Elkay","US-CA"
"309",2021-03-14,40,"Elkay","US-CA"
"310",2021-03-21,71,"Elkay","US-CA"
"311",2021-03-28,35,"Elkay","US-CA"
"312",2021-04-04,27,"Elkay","US-CA"
"313",2021-04-11,52,"Elkay","US-CA"
"314",2021-04-18,79,"Elkay","US-CA"
"315",2021-04-25,62,"Elkay","US-CA"
"316",2021-05-02,44,"Elkay","US-CA"
"317",2021-05-09,9,"Elkay","US-CA"
"318",2021-05-16,44,"Elkay","US-CA"
"319",2021-05-23,44,"Elkay","US-CA"
"320",2021-05-30,27,"Elkay","US-CA"
"321",2021-06-06,27,"Elkay","US-CA"
"322",2021-06-13,43,"Elkay","US-CA"
"323",2021-06-20,72,"Elkay","US-CA"
"324",2021-06-27,18,"Elkay","US-CA"
"325",2021-07-04,36,"Elkay","US-CA"
"326",2021-07-11,53,"Elkay","US-CA"
"327",2021-07-18,63,"Elkay","US-CA"
"328",2021-07-25,35,"Elkay","US-CA"
"329",2019-01-06,42,"Elkay","US-CO"
"330",2019-01-13,21,"Elkay","US-CO"
"331",2019-01-20,42,"Elkay","US-CO"
"332",2019-01-27,42,"Elkay","US-CO"
"333",2019-02-03,20,"Elkay","US-CO"
"334",2019-02-10,41,"Elkay","US-CO"
"335",2019-02-17,20,"Elkay","US-CO"
"336",2019-02-24,61,"Elkay","US-CO"
"337",2019-03-03,21,"Elkay","US-CO"
"338",2019-03-10,41,"Elkay","US-CO"
"339",2019-03-31,21,"Elkay","US-CO"
"340",2019-04-07,21,"Elkay","US-CO"
"341",2019-04-14,43,"Elkay","US-CO"
"342",2019-04-21,21,"Elkay","US-CO"
"343",2019-04-28,21,"Elkay","US-CO"
"344",2019-05-05,21,"Elkay","US-CO"
"345",2019-05-12,44,"Elkay","US-CO"
"346",2019-05-19,22,"Elkay","US-CO"
"347",2019-05-26,23,"Elkay","US-CO"
"348",2019-06-02,22,"Elkay","US-CO"
"349",2019-06-09,22,"Elkay","US-CO"
"350",2019-06-16,22,"Elkay","US-CO"
"351",2019-06-23,66,"Elkay","US-CO"
"352",2019-07-07,65,"Elkay","US-CO"
"353",2019-07-21,44,"Elkay","US-CO"
"354",2019-08-11,42,"Elkay","US-CO"
"355",2019-09-08,39,"Elkay","US-CO"
"356",2019-09-15,59,"Elkay","US-CO"
"357",2019-09-22,100,"Elkay","US-CO"
"358",2019-09-29,61,"Elkay","US-CO"
"359",2019-10-06,20,"Elkay","US-CO"
"360",2019-10-13,82,"Elkay","US-CO"
"361",2019-10-20,20,"Elkay","US-CO"
"362",2019-10-27,59,"Elkay","US-CO"
"363",2019-11-17,20,"Elkay","US-CO"
"364",2019-12-01,59,"Elkay","US-CO"
"365",2019-12-08,79,"Elkay","US-CO"
"366",2019-12-15,41,"Elkay","US-CO"
"367",2020-01-05,20,"Elkay","US-CO"
"368",2020-01-12,19,"Elkay","US-CO"
"369",2020-01-19,60,"Elkay","US-CO"
"370",2020-02-02,38,"Elkay","US-CO"
"371",2020-02-09,19,"Elkay","US-CO"
"372",2020-02-16,39,"Elkay","US-CO"
"373",2020-02-23,37,"Elkay","US-CO"
"374",2020-03-01,37,"Elkay","US-CO"
"375",2020-03-08,18,"Elkay","US-CO"
"376",2020-03-22,18,"Elkay","US-CO"
"377",2020-05-03,17,"Elkay","US-CO"
"378",2020-05-10,35,"Elkay","US-CO"
"379",2020-05-17,36,"Elkay","US-CO"
"380",2020-05-24,55,"Elkay","US-CO"
"381",2020-06-07,18,"Elkay","US-CO"
"382",2020-06-14,36,"Elkay","US-CO"
"383",2020-06-21,18,"Elkay","US-CO"
"384",2020-06-28,38,"Elkay","US-CO"
"385",2020-07-12,37,"Elkay","US-CO"
"386",2020-07-19,19,"Elkay","US-CO"
"387",2020-07-26,37,"Elkay","US-CO"
"388",2020-08-02,55,"Elkay","US-CO"
"389",2020-08-09,18,"Elkay","US-CO"
"390",2020-08-16,54,"Elkay","US-CO"
"391",2020-08-23,17,"Elkay","US-CO"
"392",2020-08-30,35,"Elkay","US-CO"
"393",2020-09-06,54,"Elkay","US-CO"
"394",2020-09-13,36,"Elkay","US-CO"
"395",2020-09-20,90,"Elkay","US-CO"
"396",2020-09-27,39,"Elkay","US-CO"
"397",2020-10-04,20,"Elkay","US-CO"
"398",2020-10-11,22,"Elkay","US-CO"
"399",2020-10-18,44,"Elkay","US-CO"
"400",2020-10-25,22,"Elkay","US-CO"
"401",2020-11-22,22,"Elkay","US-CO"
"402",2020-12-06,20,"Elkay","US-CO"
"403",2020-12-20,22,"Elkay","US-CO"
"404",2020-12-27,21,"Elkay","US-CO"
"405",2021-01-03,20,"Elkay","US-CO"
"406",2021-01-10,41,"Elkay","US-CO"
"407",2021-01-17,20,"Elkay","US-CO"
"408",2021-01-24,20,"Elkay","US-CO"
"409",2021-01-31,21,"Elkay","US-CO"
"410",2021-02-07,21,"Elkay","US-CO"
"411",2021-02-14,21,"Elkay","US-CO"
"412",2021-02-28,21,"Elkay","US-CO"
"413",2021-03-14,39,"Elkay","US-CO"
"414",2021-03-28,21,"Elkay","US-CO"
"415",2021-04-04,21,"Elkay","US-CO"
"416",2021-04-11,42,"Elkay","US-CO"
"417",2021-04-18,21,"Elkay","US-CO"
"418",2021-05-09,21,"Elkay","US-CO"
"419",2021-05-16,66,"Elkay","US-CO"
"420",2021-05-23,22,"Elkay","US-CO"
"421",2021-05-30,22,"Elkay","US-CO"
"422",2021-06-06,43,"Elkay","US-CO"
"423",2021-06-27,22,"Elkay","US-CO"
"424",2021-07-04,44,"Elkay","US-CO"
"425",2021-07-11,21,"Elkay","US-CO"
"426",2019-01-06,32,"Elkay","US-CT"
"427",2019-02-03,32,"Elkay","US-CT"
"428",2019-02-17,64,"Elkay","US-CT"
"429",2019-02-24,61,"Elkay","US-CT"
"430",2019-03-17,33,"Elkay","US-CT"
"431",2019-03-24,32,"Elkay","US-CT"
"432",2019-04-07,67,"Elkay","US-CT"
"433",2019-04-14,35,"Elkay","US-CT"
"434",2019-05-12,100,"Elkay","US-CT"
"435",2019-05-19,34,"Elkay","US-CT"
"436",2019-06-16,68,"Elkay","US-CT"
"437",2019-07-14,35,"Elkay","US-CT"
"438",2019-07-28,36,"Elkay","US-CT"
"439",2019-09-01,32,"Elkay","US-CT"
"440",2019-09-08,31,"Elkay","US-CT"
"441",2019-10-06,94,"Elkay","US-CT"
"442",2019-10-13,63,"Elkay","US-CT"
"443",2019-10-20,31,"Elkay","US-CT"
"444",2019-11-10,30,"Elkay","US-CT"
"445",2019-12-01,29,"Elkay","US-CT"
"446",2019-12-15,61,"Elkay","US-CT"
"447",2019-12-22,34,"Elkay","US-CT"
"448",2020-01-05,30,"Elkay","US-CT"
"449",2020-01-12,29,"Elkay","US-CT"
"450",2020-01-19,30,"Elkay","US-CT"
"451",2020-01-26,56,"Elkay","US-CT"
"452",2020-02-02,28,"Elkay","US-CT"
"453",2020-02-09,87,"Elkay","US-CT"
"454",2020-02-23,56,"Elkay","US-CT"
"455",2020-03-01,28,"Elkay","US-CT"
"456",2020-03-08,56,"Elkay","US-CT"
"457",2020-03-15,54,"Elkay","US-CT"
"458",2020-03-22,25,"Elkay","US-CT"
"459",2020-04-19,24,"Elkay","US-CT"
"460",2020-05-24,26,"Elkay","US-CT"
"461",2020-06-14,27,"Elkay","US-CT"
"462",2020-06-21,27,"Elkay","US-CT"
"463",2020-06-28,55,"Elkay","US-CT"
"464",2020-07-05,55,"Elkay","US-CT"
"465",2020-08-02,31,"Elkay","US-CT"
"466",2020-08-09,87,"Elkay","US-CT"
"467",2020-08-16,29,"Elkay","US-CT"
"468",2020-08-30,27,"Elkay","US-CT"
"469",2020-09-06,27,"Elkay","US-CT"
"470",2020-09-13,26,"Elkay","US-CT"
"471",2020-09-20,27,"Elkay","US-CT"
"472",2020-10-04,29,"Elkay","US-CT"
"473",2020-12-06,60,"Elkay","US-CT"
"474",2020-12-13,31,"Elkay","US-CT"
"475",2020-12-27,31,"Elkay","US-CT"
"476",2021-01-03,29,"Elkay","US-CT"
"477",2021-01-10,30,"Elkay","US-CT"
"478",2021-01-17,30,"Elkay","US-CT"
"479",2021-01-24,30,"Elkay","US-CT"
"480",2021-01-31,30,"Elkay","US-CT"
"481",2021-02-21,92,"Elkay","US-CT"
"482",2021-02-28,31,"Elkay","US-CT"
"483",2021-03-21,32,"Elkay","US-CT"
"484",2021-04-04,96,"Elkay","US-CT"
"485",2021-04-11,32,"Elkay","US-CT"
"486",2021-04-18,32,"Elkay","US-CT"
"487",2021-04-25,31,"Elkay","US-CT"
"488",2021-05-02,32,"Elkay","US-CT"
"489",2021-05-16,32,"Elkay","US-CT"
"490",2021-05-30,32,"Elkay","US-CT"
"491",2021-06-06,65,"Elkay","US-CT"
"492",2021-07-11,32,"Elkay","US-CT"
"493",2021-07-25,33,"Elkay","US-CT"
"494",2019-02-03,96,"Elkay","US-DE"
"495",2019-02-24,90,"Elkay","US-DE"
"496",2019-06-09,100,"Elkay","US-DE"
"497",2019-07-07,96,"Elkay","US-DE"
"498",2019-08-18,95,"Elkay","US-DE"
"499",2019-09-22,89,"Elkay","US-DE"
"500",2019-12-01,85,"Elkay","US-DE"
"501",2020-08-23,77,"Elkay","US-DE"
"502",2020-10-04,82,"Elkay","US-DE"
"503",2020-12-13,85,"Elkay","US-DE"
"504",2021-01-10,84,"Elkay","US-DE"
"505",2021-01-17,83,"Elkay","US-DE"
"506",2019-01-06,30,"Elkay","US-FL"
"507",2019-01-20,40,"Elkay","US-FL"
"508",2019-01-27,40,"Elkay","US-FL"
"509",2019-02-03,20,"Elkay","US-FL"
"510",2019-02-10,20,"Elkay","US-FL"
"511",2019-02-17,29,"Elkay","US-FL"
"512",2019-02-24,38,"Elkay","US-FL"
"513",2019-03-03,48,"Elkay","US-FL"
"514",2019-03-10,19,"Elkay","US-FL"
"515",2019-03-24,49,"Elkay","US-FL"
"516",2019-03-31,29,"Elkay","US-FL"
"517",2019-04-07,73,"Elkay","US-FL"
"518",2019-04-21,11,"Elkay","US-FL"
"519",2019-04-28,32,"Elkay","US-FL"
"520",2019-05-05,11,"Elkay","US-FL"
"521",2019-05-12,54,"Elkay","US-FL"
"522",2019-05-19,22,"Elkay","US-FL"
"523",2019-05-26,100,"Elkay","US-FL"
"524",2019-06-02,33,"Elkay","US-FL"
"525",2019-06-09,75,"Elkay","US-FL"
"526",2019-06-23,43,"Elkay","US-FL"
"527",2019-06-30,33,"Elkay","US-FL"
"528",2019-07-07,11,"Elkay","US-FL"
"529",2019-07-14,11,"Elkay","US-FL"
"530",2019-07-21,21,"Elkay","US-FL"
"531",2019-07-28,75,"Elkay","US-FL"
"532",2019-08-04,32,"Elkay","US-FL"
"533",2019-08-11,32,"Elkay","US-FL"
"534",2019-08-18,52,"Elkay","US-FL"
"535",2019-08-25,10,"Elkay","US-FL"
"536",2019-09-01,19,"Elkay","US-FL"
"537",2019-09-08,59,"Elkay","US-FL"
"538",2019-09-15,30,"Elkay","US-FL"
"539",2019-09-22,20,"Elkay","US-FL"
"540",2019-09-29,10,"Elkay","US-FL"
"541",2019-10-06,20,"Elkay","US-FL"
"542",2019-10-13,49,"Elkay","US-FL"
"543",2019-10-20,19,"Elkay","US-FL"
"544",2019-10-27,78,"Elkay","US-FL"
"545",2019-11-03,38,"Elkay","US-FL"
"546",2019-11-10,38,"Elkay","US-FL"
"547",2019-11-17,39,"Elkay","US-FL"
"548",2019-11-24,20,"Elkay","US-FL"
"549",2019-12-01,10,"Elkay","US-FL"
"550",2019-12-08,10,"Elkay","US-FL"
"551",2019-12-15,38,"Elkay","US-FL"
"552",2019-12-22,30,"Elkay","US-FL"
"553",2019-12-29,38,"Elkay","US-FL"
"554",2020-01-05,54,"Elkay","US-FL"
"555",2020-01-12,52,"Elkay","US-FL"
